COLLECTED_NAME,MASTER GENOTYPE ID
NY_20_06_01_A_1,E001
NY_20_06_02_A_1,E002
NY_20_06_03_A_1,E003
NY_20_06_04_A_1,E004
NY_20_06_05_A_1,E005
NY_20_06_06_A_1,E006
NY_20_06_07_A_1,E007
NY_20_06_08_A_1,E008
NY_20_06_09_A_1,E009
NY_20_06_10_A_1,E010
NY_20_06_11_A_1,E011
NY_20_06_12_A_1,E012
NY_20_06_13_A_1,E013
NY_20_06_14_A_1,E014
NY_20_06_15_A_1,E015
NY_20_06_16_A_1,E016
NY_20_06_17_A_1,E017
NY_20_06_18_A_1,E019
NY_20_06_19_A_1,E020
NY_20_06_20_A_1,E022
NY_20_06_21_A_1,E023
NY_20_06_22_A_1,E024
NY_20_06_23_A_1,E025
NY_20_06_24_A_1,E026
NY_20_06_25_A_1,E027
NY_20_06_26_A_1,E028
NY_20_06_27_A_1,E029
NY_20_06_28_A_1,E030
NY_20_06_29_A_1,E031
NY_20_06_30_A_1,E032
NY_20_06_31_A_1,E033
NY_20_06_32_A_1,E034
NY_20_06_33_A_1,E035
NY_20_06_34_A_1,E036
NY_20_05_01_A_1,E088
NY_20_05_02_A_1,E089
NY_20_05_03_A_1,E090
NY_20_05_04_A_1,E091
NY_20_05_05_A_1,E092
NY_20_05_06_A_1,E093
NY_20_05_07_A_1,E094
NY_20_05_08_A_1,E095
NY_20_05_09_A_1,E096
NY_20_05_10_A_1,E097
NY_20_05_11_A_1,E098
NY_20_05_12_A_1,E099
NY_20_05_13_A_1,E100
NY_20_05_14_A_1,E101
NY_20_05_15_A_1,E102
NY_20_05_16_A_1,E103
NY_20_05_17_A_1,E104
NY_20_05_18_A_1,E105
NY_20_05_19_A_1,E106
NY_20_05_20_A_1,E107
NY_20_05_21_A_1,E108
NY_20_05_22_A_1,E109
NY_20_05_23_A_1,E110
NY_20_05_24_A_1,E112
NY_20_05_25_A_1,E113
NY_20_05_26_A_1,E114
NY_20_05_27_A_1,E115
NY_20_05_28_A_1,E116
NY_20_05_29_A_1,E117
NY_20_05_30_A_1,E118
NY_20_05_31_A_1,E119
NY_20_05_32_A_1,E120
NY_20_05_33_A_1,E121
NY_20_05_34_A_1,E122
NY_20_05_35_A_1,E123
NY_20_05_36_A_1,E124
NY_20_05_37_A_1,E125
NY_20_05_38_A_1,E126
NY_20_05_39_A_1,E127
NY_20_05_40_A_1,E128
NY_20_05_41_A_1,E129
NY_20_05_42_A_1,E130
NY_20_05_43_A_1,E131
NY_20_05_44_A_1,E132
NY_20_05_45_A_1,E133
NY_20_05_46_A_1,E134
NY_20_05_47_A_1,E135
NY_20_05_48_A_1,E136
NY_20_05_49_A_1,E137
NY_20_05_51_A_1,E139
NY_20_05_52_A_1,E140
NY_20_05_53_A_1,E141
NY_20_05_54_A_1,E143
NY_20_05_55_A_1,E144
NY_20_05_56_A_1,E145
NY_20_05_57_A_1,E146
NY_20_05_58_A_1,E147
NY_20_05_59_A_1,E148
NY_20_05_60_A_1,E149
NY_20_05_61_A_1,E150
NY_20_05_62_A_1,E151
NY_20_05_63_A_1,E152
NY_20_05_64_A_1,E153
NY_20_05_65_A_1,E154
NY_20_05_66_A_1,E155
